name,position,college,team_status,source_url
Derrick Harmon,DT,Oregon,Draft,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Kaleb Johnson,RB,Iowa,Draft,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Jack Sawyer,DE,Ohio State,Draft,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Yahya Black,DT,Iowa,Draft,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Will Howard,QB,Ohio State,Draft,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Carson Bruener,LB,Washington,Draft,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Donte Kent,CB,Central Michigan,Draft,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
