name,address,city,state,source_url
AVTEC-Alaska's Institute of Technology,809 Second Avenue,Seward,AK,https://databayou.com/usofa/colleges.html
Charter College-Anchorage,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,https://databayou.com/usofa/colleges.html
Alaska Career College,1415 E Tudor Road,Anchorage,AK,https://databayou.com/usofa/colleges.html
University of Alaska System of Higher Education,"910 Yukon Drive, Suite 202 Butrovich Building",Fairbanks,AK,https://databayou.com/usofa/colleges.html
Everest College-Phoenix,"10400 N. 25th Avenue, Suite 190",Phoenix,AZ,https://databayou.com/usofa/colleges.html
Collins College,4750 S 44th Place,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Empire Beauty School-Paradise Valley,12827 N Tatum Blvd,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Empire Beauty School-Tucson,3030 E Speedway Blvd,Tucson,AZ,https://databayou.com/usofa/colleges.html
Thunderbird School of Global Management,1 Global Place,Glendale,AZ,https://databayou.com/usofa/colleges.html
American Indian College Inc,10020 N 15th Ave,Phoenix,AZ,https://databayou.com/usofa/colleges.html
American Institute of Technology,440 S 54th Avenue,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Carrington College-Phoenix,8503 N 27th Ave.,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Carrington College-Mesa,"1001 Southern Ave., Ste. 130",Mesa,AZ,https://databayou.com/usofa/colleges.html
Carrington College-Tucson,"201 N. Bonita Ave., Suite 101",Tucson,AZ,https://databayou.com/usofa/colleges.html
CollegeAmerica-Flagstaff,399 Malpais,Flagstaff,AZ,https://databayou.com/usofa/colleges.html
Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,https://databayou.com/usofa/colleges.html
Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,https://databayou.com/usofa/colleges.html
Brookline College-Phoenix,"2445 W. Dunlap Ave., Ste. 100",Phoenix,AZ,https://databayou.com/usofa/colleges.html
Arizona State University-Tempe,University Drive and Mill Avenue,Tempe,AZ,https://databayou.com/usofa/colleges.html
Arizona Western College,2020 S. Avenue 8E,Yuma,AZ,https://databayou.com/usofa/colleges.html
University of Arizona,1401 E University,Tucson,AZ,https://databayou.com/usofa/colleges.html
Southwest University of Visual Arts-Tucson,2525 N Country Club Rd,Tucson,AZ,https://databayou.com/usofa/colleges.html
Central Arizona College,8470 N Overfield Rd,Coolidge,AZ,https://databayou.com/usofa/colleges.html
Brown Mackie College-Tucson,4585 E Speedway Blvd.,Tucson,AZ,https://databayou.com/usofa/colleges.html
Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205",Lake Havasu City,AZ,https://databayou.com/usofa/colleges.html
Cochise County Community College District,4190 W Highway 80,Douglas,AZ,https://databayou.com/usofa/colleges.html
Empire Beauty School-Flagstaff,1790 E Rte 66,Flagstaff,AZ,https://databayou.com/usofa/colleges.html
Empire Beauty School-Chandler,2978 N Alma School Rd #1-3,Chandler,AZ,https://databayou.com/usofa/colleges.html
Cortiva Institute-Tucson,"6390 E. Broadway, Suite 100",Tucson,AZ,https://databayou.com/usofa/colleges.html
Avalon School of Cosmetology-Mesa,2111 S Alma School Rd Ste 21,Mesa,AZ,https://databayou.com/usofa/colleges.html
Eastern Arizona College,615 N. Stadium Ave.,Thatcher,AZ,https://databayou.com/usofa/colleges.html
Embry-Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,AZ,https://databayou.com/usofa/colleges.html
Frank Lloyd Wright School of Architecture,Taliesin West,Scottsdale,AZ,https://databayou.com/usofa/colleges.html
Glendale Community College,6000 W Olive Ave,Glendale,AZ,https://databayou.com/usofa/colleges.html
Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,https://databayou.com/usofa/colleges.html
International Academy of Hair Design,4812 S Mill Ave,Tempe,AZ,https://databayou.com/usofa/colleges.html
Maricopa Community College System Office,2411 W 14th St,Tempe,AZ,https://databayou.com/usofa/colleges.html
GateWay Community College,108 N. 40th Street,Phoenix,AZ,https://databayou.com/usofa/colleges.html
Mesa Community College,1833 W Southern Ave,Mesa,AZ,https://databayou.com/usofa/colleges.html
ITT Technical Institute-Tucson,1455 W. River Rd,Tucson,AZ,https://databayou.com/usofa/colleges.html
ITT Technical Institute-Tempe,5005 S. Wendler Drive,Tempe,AZ,https://databayou.com/usofa/colleges.html
Mohave Community College,1971 Jagerson Ave,Kingman,AZ,https://databayou.com/usofa/colleges.html
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2844 W Deer Valley Rd,Phoenix,AZ,https://databayou.com/usofa/colleges.html
